City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Neuroburg,Drone,Clear,Booming,Wednesday,13,56.4116,0,0,32.052,0.1168
TechHaven,Car,Snowy,Booming,Tuesday,7,80.5116,1,0,77.0446,0.4036
Ecoopolis,Drone,Electromagnetic Storm,Booming,Monday,23,63.2903,0,0,31.6452,0.1836
AquaCity,Car,Solar Flare,Stable,Monday,14,105.8861,0,0,105.8861,0.5545
MetropolisX,Autonomous Vehicle,Clear,Stable,Tuesday,18,30.2855,1,0,24.4731,0.781
MetropolisX,Drone,Solar Flare,Stable,Thursday,17,88.8656,1,0,44.4328,0.6898
MetropolisX,Drone,Rainy,Stable,Tuesday,18,23.1847,1,0,11.0932,0.4465
MetropolisX,Autonomous Vehicle,Rainy,Stable,Friday,16,22.2774,0,0,21.3181,0.384
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,18,47.4427,1,0,42.1713,0.4105
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Wednesday,2,32.1239,0,0,27.0517,0.805
MetropolisX,Flying Car,Clear,Booming,Sunday,18,34.2661,0,0,41.1193,0.7916
Neuroburg,Drone,Clear,Booming,Wednesday,1,85.6447,0,0,48.6618,0.0712
AquaCity,Car,Solar Flare,Recession,Friday,3,104.7216,0,0,104.7216,0.0837
MetropolisX,Flying Car,Electromagnetic Storm,Booming,Wednesday,14,14.2267,0,0,36.4663,0.6655
MetropolisX,Autonomous Vehicle,Solar Flare,Booming,Saturday,20,122.5486,0,0,111.4078,0.5798
SolarisVille,Flying Car,Rainy,Booming,Wednesday,0,59.0533,0,0,70.864,0.5459
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,3,29.7549,0,0,23.804,0.2965
SolarisVille,Autonomous Vehicle,Rainy,Recession,Wednesday,10,76.6518,0,0,61.3215,0.121
MetropolisX,Autonomous Vehicle,Snowy,Recession,Wednesday,4,48.3269,0,0,46.2458,0.1402
Neuroburg,Autonomous Vehicle,Rainy,Recession,Sunday,2,83.0002,0,0,79.426,0.0571
AquaCity,Autonomous Vehicle,Clear,Stable,Wednesday,10,87.1085,0,0,69.6868,0.5701
AquaCity,Autonomous Vehicle,Clear,Stable,Thursday,19,91.8574,0,0,81.651,0.5584
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Sunday,8,65.3927,0,0,52.3142,0.3075
Neuroburg,Drone,Solar Flare,Booming,Wednesday,11,24.2535,0,0,13.7804,0.122
AquaCity,Autonomous Vehicle,Solar Flare,Stable,Sunday,9,73.8052,0,0,59.0442,0.454
SolarisVille,Drone,Rainy,Stable,Monday,7,75.7011,1,0,37.8505,0.3013
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,8,55.8518,1,0,44.6815,0.6187
Neuroburg,Autonomous Vehicle,Clear,Booming,Tuesday,8,38.9267,1,0,35.3879,0.1167
AquaCity,Drone,Clear,Recession,Friday,12,100.6704,0,0,50.3352,0.0959
AquaCity,Drone,Rainy,Recession,Saturday,17,41.5569,0,0,20.7784,0.2002
MetropolisX,Autonomous Vehicle,Rainy,Booming,Wednesday,1,45.2828,0,0,43.3328,0.3841
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,7,61.9868,0,0,59.3175,0.367
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Wednesday,12,56.248,0,0,44.9984,0.156
Ecoopolis,Car,Electromagnetic Storm,Booming,Tuesday,22,17.3399,0,0,17.3399,0.5847
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,9,111.6611,0,1,89.3289,0.1529
TechHaven,Autonomous Vehicle,Clear,Recession,Wednesday,4,33.8951,0,1,30.8138,0.0339
Neuroburg,Drone,Rainy,Stable,Saturday,10,37.4134,0,0,22.3765,0.0959
SolarisVille,Autonomous Vehicle,Snowy,Stable,Saturday,12,35.8559,1,0,28.6847,0.4825
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,18,51.3465,0,0,41.0772,0.1185
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Wednesday,3,86.4,0,0,99.3043,0.2046
TechHaven,Autonomous Vehicle,Rainy,Recession,Tuesday,21,60.6722,0,0,53.7588,0.0225
TechHaven,Drone,Solar Flare,Stable,Saturday,5,23.9884,0,1,18.9302,0.2084
SolarisVille,Car,Rainy,Stable,Friday,6,103.8065,0,0,103.8065,0.2869
AquaCity,Autonomous Vehicle,Snowy,Recession,Friday,7,73.8805,1,0,59.1044,0.1631
MetropolisX,Autonomous Vehicle,Snowy,Recession,Wednesday,4,60.8772,0,0,58.2557,0.0657
TechHaven,Autonomous Vehicle,Snowy,Recession,Tuesday,1,55.4883,0,0,53.0989,0.0927
TechHaven,Autonomous Vehicle,Rainy,Recession,Monday,12,35.876,0,0,47.6821,0.037
Neuroburg,Autonomous Vehicle,Rainy,Booming,Sunday,7,23.1234,0,0,22.1277,0.0768
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,2,88.3129,0,1,84.51,0.1728
