UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
4834,Camera,10.015404135341331,2.9203975251403045,0,0,51,0
4835,Smart Speaker,5.161754686420981,4.224655316182174,1,0,16,1
4836,Security System,23.098551569409643,3.601014845087093,0,1,34,0
4837,Security System,12.51948719100151,5.296284458255266,0,0,31,0
4838,Smart Speaker,17.74712870176096,6.036437426282766,1,0,36,1
4839,Security System,10.159609048567368,5.710007792126629,0,3,41,0
4840,Lights,8.845596454604333,6.576266288720129,0,4,58,0
4841,Security System,10.068361013977436,3.1467202144174204,0,4,5,0
4842,Security System,10.11612112896277,1.3516196488347778,1,0,33,1
4843,Smart Speaker,13.28823272463591,7.631994660167663,1,0,43,1
4844,Smart Speaker,13.271541944562037,8.522725788043752,1,0,19,1
4845,Security System,12.183114673247484,2.6443616990020797,0,3,32,0
4846,Thermostat,3.667465945559795,4.130210365964396,1,3,57,0
4847,Smart Speaker,12.157773744762482,5.035835247939197,0,3,23,0
4848,Camera,4.47394165988531,5.37993574325407,0,4,3,0
4849,Camera,3.4641909779504814,6.628952693767753,0,1,1,0
4850,Lights,22.41717435751744,0.5118720102176814,0,4,36,0
4851,Security System,14.716325308971047,7.242623119066768,0,3,41,0
4852,Thermostat,15.99801636592773,0.7135129690961617,0,2,28,0
4853,Lights,9.942151252834048,4.736056819961392,0,1,48,0
4854,Security System,21.861050959999307,8.293944242135021,0,0,39,0
4855,Smart Speaker,15.49136650512214,4.567031601456123,1,4,5,1
4856,Camera,18.575491933804305,1.575988512805653,1,1,13,1
4857,Thermostat,9.161218022151274,9.851835065559,0,2,11,0
4858,Camera,23.06027919924945,8.903926074535207,1,1,46,0
4859,Smart Speaker,19.780840318720404,7.736004968927639,1,4,22,1
4860,Security System,20.56778888084177,4.173964868702183,1,3,49,1
4861,Smart Speaker,4.546565284505226,1.920072696204048,0,0,23,0
4862,Smart Speaker,6.867635384973659,9.419970696043162,1,3,12,0
4863,Camera,7.212225092564061,5.370276152519676,0,3,53,0
4864,Thermostat,6.866366746301472,8.538319057836102,1,4,55,0
4865,Smart Speaker,20.60209180945077,3.486740557018315,1,3,53,1
4866,Camera,1.2492926874019146,3.41935433908676,1,3,21,1
4867,Thermostat,2.2883497410481963,9.856850758672987,0,4,19,0
4868,Security System,6.936999459802737,5.266147180099013,0,4,5,0
4869,Security System,5.197014904261926,1.4928846962213884,0,2,24,0
4870,Lights,5.948700926246937,2.2747793121476034,0,3,30,0
4871,Camera,19.25166494745255,4.871248365987936,0,1,8,0
4872,Thermostat,13.733474956463102,0.5204620138352722,0,0,2,1
4873,Smart Speaker,0.6356105403847478,4.679086455245175,0,0,59,0
4874,Security System,10.589084994048587,4.247514336593263,0,4,49,0
4875,Thermostat,10.085295780983436,7.815429026662921,0,4,34,0
4876,Camera,3.177713831946773,3.6139254484434935,1,2,59,0
4877,Lights,16.38933203213424,9.827232739242032,1,3,23,1
4878,Security System,16.99928392691804,1.8896222010789407,0,4,3,0
4879,Thermostat,17.440990647724295,5.950768181184535,1,4,56,0
4880,Thermostat,17.619067220626913,0.9880230403817208,1,0,52,1
4881,Thermostat,0.5012414329089748,7.365253441540422,0,3,58,0
4882,Camera,22.91713889039797,9.94806151181352,0,2,58,0
4883,Camera,19.633906025784583,8.209472513741158,1,4,24,1
4884,Camera,21.743569869848205,5.601465053130982,0,4,18,0
4885,Smart Speaker,0.8676174397247022,4.898939438256951,1,4,47,0
4886,Thermostat,22.44568170096488,8.366796616541784,0,0,37,0
4887,Security System,19.53003042417046,9.36614343863617,1,4,54,0
4888,Camera,20.174649859529417,9.89314460540112,0,4,49,0
4889,Camera,2.69225354096626,4.025738352888393,1,0,31,1
4890,Thermostat,17.861283679587046,9.910083000465672,1,4,14,1
4891,Camera,23.05804220658914,1.643669896520932,1,3,1,1
4892,Smart Speaker,16.445862523326774,2.610142781725901,1,3,14,1
4893,Smart Speaker,13.908193008678252,0.9812596348655724,0,0,41,0
4894,Camera,22.722297427101427,2.7902113131963686,1,3,5,1
4895,Thermostat,10.909022360759248,7.70258176101831,0,2,31,0
4896,Thermostat,14.58339880829625,8.543951145966652,1,4,31,1
4897,Thermostat,11.693949897117603,7.81103718651546,0,2,30,0
4898,Lights,22.42188620196703,6.347551203860193,1,3,36,0
4899,Camera,2.2879910789894207,5.188268473974191,0,0,1,0
4900,Thermostat,12.276312969395685,7.1161724632151,1,0,3,1
4901,Smart Speaker,16.6433823725578,3.969252137745496,1,2,20,1
4902,Security System,19.10980365292257,8.428952679847049,0,3,43,0
4903,Security System,14.200938214937205,6.804181930370175,1,4,48,0
4904,Thermostat,21.85956698685417,7.008266515094644,1,3,43,0
4905,Security System,22.636799001770985,5.405766331977805,1,3,21,1
4906,Security System,2.0115017450492125,8.863766943690608,1,0,30,1
4907,Lights,9.955707679222298,2.59494586342262,0,1,42,0
4908,Smart Speaker,1.0512870104471292,3.8733617682744015,1,4,44,0
4909,Smart Speaker,8.241291448299409,7.798661439809122,0,4,30,0
